tri_chem_id,chemical,field
0000079005,"1,1,2-trichloroethane","1,1,2-trichloroethane"
0000319846,alpha-hexachlorocyclohexane,"1,2,3,4,5,6-hexachlorocyclyhexane"
0000120821,"1,2,4-trichlorobenzene","1,2,4-trichlorobenzene"
0000106467,"1,4-dichlorobenzene","1,4-dichlorobenzene"
0000079469,2-nitropropane,2-nitropropane
0000121142,"2,4-dinitrotoluene","2,4-dinitrotoluene"
0000092875,benzidine,benzidine
0000117817,di(2-ethylhexyl) phthalate,bis(2-ethylhexyl)phthalate (dehp)
0000056235,carbon tetrachloride,carbon tetrachloride
0000057749,chlordane,chlordane
0000108907,chlorobenzene,chlorobenzene
0000067663,chloroform,chloroform
0000107062,"1,2-dichloroethane","ethylene dichloride (1,2-dichloroethane)"
0000118741,hexachlorobenzene,hexachlorobenzene
0000067721,hexachloroethane,hexachloroethane
0000302012,hydrazine,hydrazine
0001634044,methyl tert-butyl ether,methyl tert-butyl ether
0000075092,dichloromethane,methylene chloride
0000068122,"n,n-dimethylformamide",dimethyl formamide
0000087865,pentachlorophenol,pentachlorophenol
0000108952,phenol,phenol
N725,selenium compounds,selenium compounds
0000079016,trichloroethylene,trichloroethylene
0000593602,vinyl bromide,vinyl bromide
0000075014,vinyl chloride,vinyl chloride
0000075354,vinylidene chloride,vinylidene chloride
0000123911,"1,4-dioxane","1,4-dioxane"
