tri_chem_id,chemical,field
0000106887,"1,2-butylene oxide","1,2-epoxybutane"
0000542756,"1,3-dichloropropylene","1,3-dichloropropene"
0000532274,2-chloroacetophenone,2-chloroacetophenone
0000584849,"toluene-2,4-diisocyanate","2,4-toluene diisocyanate"
0000101688,"4,4'-methylenedi(phenyl isocyanate)","4,4'-methylenediphenyl diisocyanate (mdi)"
0000075070,acetaldehyde,acetaldehyde
0000107028,acrolein,acrolein
0000079107,acrylic acid,acrylic acid
0000107131,acrylonitrile,acrylonitrile
N010,antimony compounds,antimony compounds
N050,beryllium compounds,beryllium compounds
0000117817,di(2-ethylhexyl) phthalate,bis(2-ethylhexyl)phthalate (dehp)
0007440473,chromium,chromium vi (hexavalent)
0007782505,chlorine,chlorine
0000126998,chloroprene,chloroprene
N096,cobalt compounds,cobalt compounds
0000111422,diethanolamine,diethanolamine
0000106898,epichlorohydrin,epichlorohydrin
0000106934,"1,2-dibromoethane",ethylene dibromide (dibromoethane)
0000107211,ethylene glycol,ethylene glycol
0000050000,formaldehyde,formaldehyde
0000077474,hexachlorocyclopentadiene,hexachlorocyclopentadiene
0007647010,"hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",hydrochloric acid (hydrogen chloride [gas only])
0000108316,maleic anhydride,maleic anhydride
0000074839,bromomethane,methyl bromide (bromomethane)
0000624839,methyl isocyanate,methyl isocyanate
0000080626,methyl methacrylate,methyl methacrylate
0000075092,dichloromethane,methylene chloride
N495,nickel compounds,nickel compounds
0000091203,naphthalene,naphthalene
0000098953,nitrobenzene,nitrobenzene
0000075445,phosgene,phosgene
0000085449,phthalic anhydride,phthalic anhydride
0000123386,propionaldehyde,propionaldehyde
0000078875,"1,2-dichloropropane","propylene dichloride (1,2-dichloropropane)"
0000075569,propylene oxide,propylene oxide
0000096093,styrene oxide,styrene oxide
0007550450,titanium tetrachloride,titanium tetrachloride
0000121448,triethylamine,triethylamine
0000108054,vinyl acetate,vinyl acetate
0000123911,"1,4-dioxane","1,4-dioxane"
